Crypto,Date,Open,High,Low,Close
LTC,2020-04-10,46.19,46.9,41.0,42.35
LTC,2020-04-09,46.28,46.86,44.87,46.04
LTC,2020-04-08,44.22,47.22,43.83,46.35
LTC,2020-04-07,44.1,47.69,43.92,44.22
LTC,2020-04-06,40.33,44.96,40.21,44.2
LTC,2020-04-05,40.53,41.02,40.01,40.33
LTC,2020-04-04,40.33,41.18,40.08,40.53
LTC,2020-04-03,39.89,41.31,39.66,40.33
LTC,2020-04-02,38.06,42.79,38.06,39.89
LTC,2020-04-01,39.23,39.38,37.37,38.06
LTC,2020-03-31,39.24,39.74,38.44,39.23
LTC,2020-03-30,37.36,39.5,37.04,39.32
LTC,2020-03-29,39.05,39.44,37.03,37.34
LTC,2020-03-28,40.17,40.33,36.67,39.05
LTC,2020-03-27,39.4,41.32,39.19,40.11
LTC,2020-03-26,38.96,39.91,38.54,39.39
LTC,2020-03-25,40.32,41.13,38.3,38.96
LTC,2020-03-24,38.99,40.8,38.32,40.32
LTC,2020-03-23,35.65,39.85,34.91,38.99
LTC,2020-03-22,39.18,39.84,35.27,35.65
LTC,2020-03-21,36.23,39.64,36.07,39.18
LTC,2020-03-20,39.69,43.79,34.26,36.09
LTC,2020-03-19,34.32,40.87,33.92,39.69
LTC,2020-03-18,35.04,35.37,32.39,34.29
LTC,2020-03-17,32.11,35.9,31.71,35.04
LTC,2020-03-16,34.99,38.55,29.39,32.11
LTC,2020-03-15,35.47,37.08,33.89,34.99
LTC,2020-03-14,36.13,38.58,34.51,35.47
LTC,2020-03-13,32.79,40.28,25.16,36.13
LTC,2020-03-12,48.37,48.9,30.34,33.07
LTC,2020-03-11,50.64,50.79,45.6,48.39
LTC,2020-03-10,49.08,51.39,48.58,50.64
LTC,2020-03-09,52.77,53.2,46.64,49.08
LTC,2020-03-08,60.77,60.87,51.32,53.0
LTC,2020-03-07,63.05,63.95,60.2,60.78
LTC,2020-03-06,62.37,63.85,61.31,62.95
LTC,2020-03-05,60.09,63.26,60.08,62.37
LTC,2020-03-04,60.78,61.75,58.91,60.09
LTC,2020-03-03,61.97,62.37,59.59,60.78
LTC,2020-03-02,56.47,62.28,56.47,61.97
LTC,2020-03-01,58.71,60.2,56.22,56.47
LTC,2020-02-29,59.99,61.59,58.26,58.72
LTC,2020-02-28,61.07,63.3,56.83,59.99
LTC,2020-02-27,60.72,65.17,57.26,60.96
LTC,2020-02-26,71.69,72.11,57.92,60.81
LTC,2020-02-25,73.9,76.02,69.64,71.62
LTC,2020-02-24,78.84,80.08,71.85,73.9
LTC,2020-02-23,75.57,80.1,74.65,78.84
LTC,2020-02-22,72.67,76.7,72.29,75.4
LTC,2020-02-21,69.29,75.27,68.65,72.67
LTC,2020-02-20,70.64,73.4,66.61,69.3
LTC,2020-02-19,77.48,79.56,68.29,70.72
LTC,2020-02-18,72.49,78.97,70.27,76.76
LTC,2020-02-17,71.49,75.8,68.79,72.49
LTC,2020-02-16,77.17,80.69,67.8,71.49
LTC,2020-02-15,82.96,83.85,75.0,77.17
LTC,2020-02-14,79.92,83.0,78.64,82.84
LTC,2020-02-13,81.21,84.2,77.28,80.18
LTC,2020-02-12,76.77,82.95,76.59,81.21
LTC,2020-02-11,73.65,77.5,72.63,76.77
LTC,2020-02-10,76.08,77.4,72.4,73.65
LTC,2020-02-09,77.31,78.4,75.18,76.08
LTC,2020-02-08,73.44,77.77,71.58,77.28
LTC,2020-02-07,73.23,75.26,72.55,73.43
LTC,2020-02-06,73.07,74.97,70.99,73.23
LTC,2020-02-05,67.47,73.32,67.26,73.04
LTC,2020-02-04,69.47,70.42,66.6,67.86
LTC,2020-02-03,71.85,72.85,68.42,69.47
